ax,ay,az,gx,gy,gz,id
-0.768095,-9.58445,-1.96092,-0.271817,-1.73725,0.463725,0
-0.795613,-9.58086,-1.95494,-0.700566,-1.6235,0.682474,0
-0.787238,-9.68614,-1.99681,-0.963065,-1.5185,1.05872,0
-0.758524,-9.71485,-2.0315,-0.656816,-1.22975,1.11122,0
-0.824327,-9.69093,-1.97886,-0.219317,-0.258503,1.31247,0
-0.850648,-9.71605,-1.98843,0.0956818,-0.136004,1.25997,0
-0.847059,-9.63828,-1.97527,0.54193,-0.0660048,1.01497,0
-0.865005,-9.57368,-1.93699,0.524431,-0.109755,0.848723,0
-0.87338,-9.58205,-1.94776,0.130682,-0.241004,0.804973,0
-0.865005,-9.61555,-1.95494,-0.236817,-0.416003,0.769974,0
-0.853041,-9.60718,-1.9657,-0.350567,-0.538502,0.708724,0
-0.851844,-9.61196,-1.96929,-0.403067,-0.661003,0.682474,0
-0.83988,-9.62632,-1.98126,-0.359317,-0.757252,0.796223,0
-0.833898,-9.63708,-2.00159,-0.236817,-0.783501,0.892473,0
-0.835095,-9.6335,-2.01117,0.288181,-0.512253,0.944973,0
-0.844666,-9.63469,-2.01117,0.288181,-0.407254,1.00622,0
-0.841076,-9.65623,-2.02552,0.340681,-0.337253,1.11997,0
-0.841076,-9.66939,-2.02193,0.463181,-0.223505,1.18122,0
-0.842273,-9.65982,-2.02433,0.71693,-0.0835047,1.16372,0
-0.821934,-9.62751,-2.00997,0.926929,0.0652456,1.16372,0
-0.819541,-9.58325,-2.01595,0.996929,0.213995,1.08497,0
-0.800399,-9.58205,-2.01476,0.909429,0.432744,0.918723,0
-0.770488,-9.62512,-2.01236,0.74318,0.607744,0.848723,0
-0.790827,-9.68016,-2.00518,0.830679,0.922743,0.866223,0
-0.848255,-9.51505,-1.94297,1.26818,0.992743,1.04122,0
-0.863809,-9.60718,-1.93819,0.67318,0.747744,1.27747,0
-0.872184,-9.71485,-1.96929,0.454431,0.511495,1.43497,0
-0.870987,-9.75553,-1.96451,0.821929,0.380244,1.31247,0
-0.865005,-9.70169,-1.94177,1.42568,0.257745,1.25997,0
-0.860219,-9.68135,-1.94297,1.81943,0.178995,1.39997,0
-0.876969,-9.667,-1.94297,2.16943,0.178995,1.51372,0
-0.870987,-9.59641,-1.9346,2.44942,0.283995,1.57497,0
-0.881755,-9.53061,-1.88794,2.47567,0.353994,1.70622,0
-0.916451,-9.53898,-1.88195,2.01193,0.318995,1.96872,0
-0.982253,-9.61316,-1.85204,0.63818,-0.022254,2.11747,0
-1.07198,-9.66221,-1.76949,0.393181,-0.573503,1.81122,0
-1.42373,-9.8321,-1.53619,0.384431,-2.096,1.04122,0
-2.0315,-9.97926,-1.22632,0.988179,-5.80599,-0.0962739,0
-2.54476,-10.0391,-1.1318,2.09943,-12.7885,-1.72377,0
-2.61416,-10.0116,-1.05404,3.22817,-22.0459,-3.46501,0
-2.49571,-9.97208,-1.01336,4.33942,-31.7234,-5.28501,4
-2.40957,-9.97208,-1.02293,5.21442,-40.9109,-7.04375,4
-2.37368,-10.1085,-0.928415,5.87941,-49.6346,-8.785,4
-2.38684,-10.2772,-1.01695,7.08691,-58.0871,-10.3162,4
-2.28275,-9.88474,-1.12343,13.2906,-81.782,-15.925,4
-2.31984,-9.90867,-1.15693,13.4656,-89.272,-17.7012,4
-2.41196,-9.73878,-1.25862,13.6231,-96.6482,-19.8275,4
-2.10568,-9.54736,-1.34357,12.8619,-103.727,-21.5862,4
-1.72283,-9.53778,-1.5003,11.4356,-109.134,-22.7587,4
-1.43928,-9.62751,-1.65583,10.2544,-112.477,-23.6075,4
-1.25264,-9.59521,-1.74915,9.7994,-114.183,-24.3512,4
-0.941575,-9.52702,-1.82692,9.16065,-114.726,-24.5612,4
-0.629312,-9.50428,-1.93579,8.21566,-113.728,-24.3425,4
-0.411565,-9.48634,-2.03988,7.41066,-111.357,-23.87,4
0.217747,-9.31525,-2.21097,3.90192,-97.3395,-21.7437,4
0.388834,-9.30568,-2.28036,2.30943,-90.8207,-20.5625,4
0.534796,-9.28893,-2.32223,1.02318,-83.4795,-19.1887,4
0.664008,-9.24586,-2.33659,-0.0618179,-75.4733,-17.5612,4
0.754935,-9.21595,-2.34855,-1.38306,-66.9245,-15.4525,4
0.861416,-9.24227,-2.38086,-2.79181,-57.9821,-12.88,4
0.921236,-9.32482,-2.41555,-3.92931,-48.5583,-10.0975,4
1.03609,-9.37627,-2.4658,-4.67305,-38.6884,-7.14001,4
1.1342,-9.42772,-2.47896,-5.0493,-28.4509,-4.09501,4
1.17607,-9.4337,-2.54118,-5.2068,-17.7759,-1.04127,4
1.17727,-9.5007,-2.6333,-4.83055,16.0864,8.22495,4
1.05284,-9.44566,-2.67398,-4.4018,27.3477,11.0599,4
0.888933,-9.25782,-2.61296,-4.23556,38.0576,13.4487,4
0.760917,-9.23748,-2.60219,-5.32055,47.9539,15.8899,4
0.634098,-9.42652,-2.60937,-6.86055,57.2463,18.1474,4
0.362512,-9.49352,-2.57707,-7.40305,65.9613,19.5912,4
0.0598205,-9.3978,-2.45503,-7.45555,73.5125,20.5187,4
-0.167497,-9.44327,-2.37248,-8.17304,79.6025,21.6562,4
-0.350548,-9.61914,-2.333,-8.92554,84.5638,22.7674,4
-0.514457,-9.71844,-2.31505,-8.65429,88.7288,23.4762,4
-0.832702,-9.68973,-2.16431,-5.9943,97.8199,25.3574,4
-1.10788,-9.6323,-2.08893,-5.14555,99.3774,25.6724,4
-1.25503,-9.58804,-1.98006,-4.91805,99.6487,25.8124,4
-1.39023,-9.65264,-1.90708,-5.18055,98.9049,26.0486,4
