ax,ay,az,gx,gy,gz,id
1.06361,-3.28295,8.88813,-288.165,-27.0364,10.1484,3
1.12702,-5.08355,8.81515,-286.389,-26.5376,12.8259,3
1.17846,-6.52403,8.75653,-256.543,-24.7876,14.1647,3
1.18684,-7.60678,8.65005,-197.971,-21.2526,14.3397,3
1.21077,-8.30668,8.51725,-130.106,-16.2214,13.6222,3
1.3005,-8.42034,8.34855,-61.1385,-11.2602,12.2922,3
1.38305,-8.18943,8.1332,4.77508,-6.08894,11.0584,3
1.52064,-7.97767,7.84487,66.8736,-1.1452,10.4634,3
1.58165,-5.21396,7.83051,207.503,13.966,9.49219,3
1.50987,-4.28076,8.132,231.627,18.516,8.5822,3
1.42732,-3.40738,8.58065,243.422,22.0072,7.19095,3
1.28734,-2.44427,8.91446,243.868,24.5185,5.27471,3
1.13779,-1.38664,9.33081,231.496,25.656,3.13971,3
0.972682,-0.367298,9.78185,206.873,25.1572,0.575971,3
0.796809,0.404387,10.2006,172.022,23.5647,-1.81277,3
0.652044,0.954736,10.4315,128.412,20.2922,-3.77277,3
0.617348,1.07916,10.483,81.1099,15.8123,-5.40026,3
0.544367,0.984646,10.4351,36.2837,11.4198,-6.81776,3
0.59342,-0.82313,10.398,-36.3586,0.981045,-8.0515,3
0.599402,-1.35194,10.4495,-34.2236,-0.6902,-7.76275,3
0.679561,-1.67976,10.4016,-23.2948,-1.52145,-7.09776,3
0.711864,-1.71805,10.3178,-7.80739,-1.7402,-6.28401,3
0.690329,-1.43809,10.3023,8.14382,-1.9502,-5.22526,3
0.683151,-0.97986,10.2377,21.1813,-1.9852,-3.99152,3
0.736989,-0.573081,10.1216,29.31,-2.1602,-2.52152,3
0.750149,-0.244068,10.014,31.7775,-2.1952,-1.25277,3
0.739382,-0.0382851,9.95055,28.4,-2.5802,-0.290277,3
0.727417,0.04666,9.89312,20.105,-3.22769,0.523471,3
0.843469,-0.527617,9.72443,-8.18364,-4.06769,2.36097,3
0.869791,-0.845862,9.69452,-12.0599,-3.63019,2.86846,3
0.88654,-1.10429,9.72443,-12.5936,-3.10519,2.97346,3
0.917647,-1.35194,9.79621,-9.50488,-2.1952,3.00846,3
0.971485,-1.46321,9.82612,-4.00115,-1.17145,2.91221,3
0.991824,-1.41057,9.85962,1.73884,-0.305202,2.75471,3
1.0002,-1.30887,9.87039,6.35007,0.438547,2.35222,3
0.994217,-1.22034,9.8644,9.23756,1.04229,1.90597,3
0.987039,-1.06481,9.84766,10.0513,1.22604,1.38097,3
0.957129,-0.928415,9.82851,7.89882,1.36604,0.724721,3
0.849451,-0.990628,9.94337,-2.65365,0.683546,-0.937775,3
0.821934,-1.04327,9.99481,-3.8874,0.709796,-1.35777,3
0.817148,-1.08634,10.0331,-3.42365,0.587296,-1.74277,3
0.801595,-1.08155,10.0367,-1.7699,0.753546,-2.03152,3
0.768095,-1.01695,10.014,0.27759,0.946045,-2.29402,3
0.79322,-0.92004,9.9984,1.89634,0.753546,-2.39027,3
0.794416,-0.807577,9.9673,2.92883,0.604796,-2.27652,3
0.80997,-0.691525,9.95533,2.98133,0.473547,-2.04902,3
0.824327,-0.60658,9.9649,2.17633,0.412297,-1.72527,3
0.811166,-0.607777,9.98524,0.960088,0.298547,-1.40152,3
0.815952,-0.684347,10.051,-0.719907,0.368547,-0.0190272,3
0.803988,-0.713061,10.063,-0.0899096,0.438547,0.453471,3
0.800399,-0.734596,10.0343,0.400089,0.298547,0.83847,3
0.805184,-0.740578,10.0319,0.671338,0.184798,1.04847,3
0.820738,-0.734596,10.0534,0.540089,-0.121452,1.23222,3
0.80638,-0.872184,10.0223,-0.142409,-0.418951,1.38097,3
0.814755,-0.994217,9.99003,-0.466158,-0.87395,1.43347,3
0.843469,-1.00857,9.9972,0.32134,-1.2502,1.42472,3
0.833898,-0.975075,10.0247,1.51134,-1.3727,1.44222,3
0.837487,-0.954736,10.0259,2.48258,-1.25895,1.21472,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
