1338124,-2.324626,-8.743366,0.680758,117.904997,12.023655,12.747967,5
1338133,-2.574676,-8.360516,1.080359,117.406189,12.242421,11.995411,5
1338143,-2.827118,-8.206181,1.549351,117.406189,12.242421,10.954087,5
1338153,-2.985044,-8.238483,1.995613,114.273465,10.212269,9.615238,5
1338163,-3.097507,-8.422729,2.297108,109.521877,10.212269,9.615238,5
1338172,-3.186041,-8.575871,2.501695,104.857755,8.567154,8.442654,5
1338182,-3.132202,-8.665600,2.701495,102.206326,6.729519,7.418829,5
1338192,-3.105882,-8.690727,2.778066,101.313782,4.961887,6.823786,5
1338202,-3.105882,-8.602192,2.937187,101.698816,3.553037,6.981298,5
1338212,-3.077168,-8.464603,3.279361,103.335142,2.292945,7.331324,5
1338222,-3.150149,-8.279160,3.641874,105.199099,1.111609,7.882614,5
1338232,-3.214754,-7.823330,4.095312,105.890346,-0.008473,8.740177,5
1338242,-3.214754,-7.411764,4.595413,104.735255,-1.461080,9.370220,5
1338252,-3.420537,-7.301693,5.014156,100.123680,-2.992441,10.149029,5
1338262,-3.416948,-7.332800,5.324028,92.571898,-4.768820,11.067841,5
1338272,-3.353539,-7.460815,5.441275,84.013767,-6.431442,11.837898,5
1338282,-3.353539,-7.598404,5.484346,75.796905,-7.805290,12.476701,5
1338292,-3.086739,-7.814955,5.435293,69.067659,-8.584095,12.284184,5
1338301,-3.086739,-7.814955,5.435293,63.423495,-8.382832,11.619133,5
1338311,-3.125025,-7.782652,5.454435,59.188190,-7.604027,10.122776,5
1338321,-3.128613,-7.368692,5.807377,54.392853,-6.413940,7.488836,5
1338331,-3.049650,-7.391424,6.035891,45.782213,-4.803822,5.432434,5
1338340,-3.144166,-7.512262,6.173477,37.250335,-3.088698,3.096015,5
1338350,-3.194416,-7.226320,6.417545,30.031068,-1.653594,0.252057,5
1338360,-3.168096,-6.993021,6.629311,21.245422,-0.577265,-1.603078,5
1338370,-3.187238,-7.050447,6.666399,11.059678,0.192791,-2.504394,5
1338380,-3.201595,-7.130608,6.683149,1.976515,0.516565,-3.493216,5
1338390,-3.164506,-7.056429,6.725023,-6.389097,0.385305,-4.709557,5
1338400,-3.135792,-7.107876,6.731007,-15.314747,0.166539,-5.628372,5
1338410,-3.156132,-7.299301,6.691523,-23.391595,-0.516011,-6.547192,5
1338420,-3.140577,-7.339979,6.624523,-30.024567,-1.469831,-7.912287,5
1338430,-3.083150,-7.325623,6.520439,-36.561296,-2.371146,-9.443645,5
1338440,-3.024526,-7.429710,6.326618,-43.413043,-3.324964,-10.905007,5
1338450,-2.925224,-7.557726,6.094515,-49.512239,-4.252533,-12.252606,5
1338460,-2.842671,-7.623528,5.887537,-54.421358,-4.943834,-13.468945,5
1338469,-2.807975,-7.668991,5.657825,-58.630419,-5.328861,-14.116490,5
1338479,-2.761315,-7.769491,5.386240,-62.419419,-5.687637,-14.020237,5
1338489,-2.784047,-7.731205,5.099102,-65.552125,-6.055164,-13.635205,5
1338499,-2.760118,-7.630707,4.849052,-68.649874,-6.571451,-12.908906,5
1338508,-2.727816,-7.734795,4.587038,-72.605133,-7.087738,-11.946335,5
1338518,-2.699102,-7.950148,4.378862,-76.140413,-7.770290,-11.193775,5
1338528,-2.702691,-8.183449,4.152740,-78.730593,-8.426586,-10.589985,5
1338538,-2.725423,-8.360516,3.975673,-80.086946,-9.354153,-10.266212,5
1338547,-2.691923,-8.426319,3.850050,-80.682011,-10.517987,-10.362469,5
1338557,-2.656032,-8.536388,3.640676,-81.452026,-11.638073,-10.231209,5
1338567,-2.617746,-8.685940,3.406180,-81.872101,-12.819408,-10.327466,5
1338577,-2.530408,-8.712261,3.151345,-81.557074,-13.991994,-10.651238,5
1338587,-2.484944,-8.650047,2.932402,-80.839510,-15.138333,-10.957512,5
1338597,-2.414356,-8.675175,2.713459,-80.918245,-16.170898,-11.088772,5
1338607,-2.356929,-8.807976,2.480159,-81.005802,-17.098465,-11.097523,5
1338617,-2.294715,-8.938381,2.292323,-80.323210,-17.868523,-11.220032,5
1338627,-2.220538,-9.034096,2.097308,-79.369416,-18.297302,-11.246284,5
1338637,-2.173878,-9.114254,1.916650,-78.240571,-18.551072,-11.123772,5
1338647,-2.120040,-9.227917,1.781456,-76.857944,-18.498566,-10.747498,5
1338657,-2.082951,-9.286541,1.605583,-74.924073,-18.227303,-10.161206,5
1338667,-1.998005,-9.275772,1.452443,-72.631412,-17.754761,-9.811176,5
1338676,-1.954935,-9.293716,1.349551,-70.531249,-17.142220,-9.364891,5
1338686,-1.942971,-9.343967,1.241874,-68.964906,-16.407166,-9.137379,5
1338696,-1.935792,-9.373875,1.122233,-67.302246,-15.899632,-8.953613,5
1338706,-1.911864,-9.378662,1.048056,-65.508394,-15.392094,-8.936111,5
1338715,-1.923829,-9.457626,0.990628,-64.204559,-14.963315,-8.936111,5
1338725,-1.927417,-9.457626,0.893719,-63.320742,-14.455776,-8.647343,5
1338735,-1.941774,-9.410965,0.812363,-62.200685,-14.210758,-8.262314,5
1338745,-1.913061,-9.409771,0.742971,-61.080585,-13.799480,-7.597265,5
1338755,-2.014755,-9.464806,0.588634,-60.231767,-13.589467,-6.398428,5
1338765,-2.066201,-9.409771,0.440279,-58.901672,-13.650715,-5.015829,5
1338775,-1.944167,-9.385841,0.278764,-57.974124,-13.545712,-3.213198,5
1338785,-1.962113,-9.448055,0.132802,-56.924043,-13.020676,-1.200550,5
1338795,-1.968095,-9.477962,-0.011964,-55.375185,-12.329372,0.663337,5
