timestamp,ax,ay,az,gx,gy,gz,TARGET
1945922,-5.368294,-9.296108,0.459422,10.539593,97.459993,0.973047,8
1945932,-6.339779,-9.306877,1.052841,8.850723,86.180420,-2.194683,8
1945942,-6.771683,-9.256630,1.424925,7.258110,69.562960,-5.266157,8
1945952,-6.839880,-9.193218,1.572083,6.173033,50.486603,-7.506321,8
1945962,-6.652042,-9.164505,1.582851,5.175457,30.998924,-8.915173,8
1945972,-6.400795,-9.038879,1.526620,4.475407,11.800011,-9.737736,8
1945982,-6.111265,-8.918045,1.351943,3.425330,-6.585077,-10.017754,8
1945992,-5.760715,-8.878563,1.184446,1.823964,-23.666329,-9.982750,8
1946002,-5.456829,-8.910866,0.958325,0.520119,-38.909943,-9.868992,8
1946012,-5.136190,-8.841476,0.717846,-0.477454,-52.158403,-9.781487,8
1946022,-4.780857,-8.779263,0.568295,-2.166327,-63.052950,-9.413956,8
1946032,-4.523628,-8.813957,0.415154,-4.310234,-71.759830,-8.486393,8
1946042,-4.289131,-8.874973,0.252443,-6.051611,-78.707824,-7.296305,8
1946051,-4.027117,-8.847454,0.125623,-7.294203,-84.106970,-6.289984,8
1946061,-3.717247,-8.806778,0.001196,-8.694302,-87.843542,-5.283659,8
1946071,-3.387037,-8.908474,-0.177069,-10.365673,-89.637365,-4.093573,8
1946081,-3.002990,-9.049652,-0.397208,-11.275742,-89.103613,-2.877233,8
1946090,-2.646460,-9.107079,-0.571884,-11.030724,-86.233368,-1.809656,8
1946100,-2.347358,-9.111862,-0.783649,-10.199413,-81.123018,-0.707075,8
1946110,-1.892722,-9.153736,-1.034895,-9.525616,-73.378725,0.605520,8
1946120,-1.562512,-9.255432,-1.255034,-8.571793,-63.052950,1.918116,8
1946130,-1.324426,-9.270985,-1.416550,-6.856670,-50.452042,2.661921,8
1946140,-1.160518,-9.183647,-1.446460,-5.264053,-36.284745,3.081951,8
1946150,-1.186839,-9.227917,-1.471585,-4.362738,-21.224892,3.685743,8
1946160,-1.282552,-9.318844,-1.438086,-2.726368,-6.025034,4.228285,8
1946170,-1.511066,-9.259022,-1.275373,-0.669968,8.781040,4.744572,8
1946180,-1.962113,-9.207577,-1.189232,0.905147,22.099519,5.444624,8
1946190,-2.285144,-9.091522,-1.016949,2.191491,33.309083,5.864655,8
1946200,-2.628514,-9.117844,-0.818345,2.454010,42.637253,6.197180,8
1946210,-3.041276,-9.229111,-0.654437,2.462761,49.839067,6.433447,8
1946220,-3.370289,-9.266197,-0.455832,3.022800,54.783158,6.048418,8
1946230,-3.603588,-9.260220,-0.320638,3.320323,57.740893,5.575884,8
1946241,-3.845263,-9.311661,-0.181854,3.757854,59.228487,4.963337,8
1946251,-4.110867,-9.262611,-0.009571,4.335398,58.922195,3.817005,8
1946261,-4.309471,-9.190826,0.120837,4.370399,56.822066,2.565663,8
1946271,-4.420738,-9.208771,0.218943,4.107880,53.514314,1.419330,8
1946282,-4.660019,-9.262611,0.362512,3.932868,48.867736,0.080482,8
1946292,-4.882551,-9.176468,0.507278,3.897866,42.497253,-1.520885,8
1946302,-4.932800,-9.123829,0.601794,3.224065,34.744186,-2.964740,8
1946312,-4.862213,-9.235092,0.573081,2.217743,26.544845,-3.909809,8
1946323,-4.756929,-9.275772,0.489332,2.095234,18.739265,-4.697365,8
1947626,-3.352343,-8.928814,-1.645064,19.456505,136.706603,5.943411,8
1947635,-3.710070,-8.914455,-1.472781,20.200310,143.418336,6.529703,8
1947645,-4.010368,-8.879757,-1.220339,20.069046,147.819877,6.643463,8
1947655,-4.502092,-9.133396,-0.874576,19.272737,149.491272,6.302187,8
1947665,-5.236689,-9.195610,-0.474975,19.474014,147.014832,4.867081,8
1947674,-6.001196,-9.084343,0.163908,20.139046,139.165521,2.434402,8
1947684,-6.917646,-8.999401,0.824327,19.298996,125.085783,-0.523312,8
1947694,-7.397406,-8.853439,1.252642,16.822563,105.738127,-3.262261,8
1947704,-7.485941,-8.849850,1.487138,13.611072,83.397703,-5.012390,8
1947714,-7.405781,-8.767296,1.694118,10.863373,59.832263,-6.543751,8
1947724,-7.354336,-8.746956,1.788634,7.993162,35.619264,-7.812593,8
1947734,-7.075573,-8.822330,1.659421,5.289215,11.476243,-8.748913,8
1947744,-6.656830,-8.782848,1.448853,3.609094,-11.581692,-9.755234,8
1947754,-6.293119,-8.752941,1.215553,2.191491,-32.644470,-10.542793,8
1947764,-5.962910,-8.822330,0.881755,0.546371,-51.379595,-10.831562,8
1947774,-5.699699,-8.695511,0.646062,-0.932487,-67.795777,-10.884068,8
1947784,-5.430508,-8.567497,0.320638,-3.111397,-82.006807,-10.201520,8
1947794,-4.966301,-8.573479,-0.016750,-5.762840,-93.470182,-8.713909,8
1947804,-4.558323,-8.682350,-0.282353,-7.819241,-101.468265,-6.753767,8
1947814,-4.162312,-8.797207,-0.526421,-8.501789,-106.543612,-4.872377,8
1947824,-3.515055,-9.053238,-0.909272,-8.983074,-108.144987,-2.798477,8
1947834,-1.867597,-9.652641,-1.755134,-8.291775,-105.406034,-0.995846,8
1947847,-1.867597,-9.652641,-1.755134,-5.894098,-97.652960,-0.409554,8
1947857,-1.226321,-9.500698,-2.019541,-3.330163,-84.990788,-0.733327,8
1947868,-0.868594,-9.320038,-2.249251,-1.448775,-68.670840,-1.197111,8
1947878,-0.653240,-9.221931,-2.392821,-0.031172,-49.681978,-1.704648,8
1947889,-0.436690,-9.061615,-2.455034,1.526443,-29.004219,-1.809656,8
1947899,-0.733400,-9.172878,-2.379661,3.084057,-6.935101,-1.485882,8
1947910,-1.044466,-9.096310,-2.288733,4.912939,15.116505,-0.374551,8
1947920,-1.395015,-8.953938,-2.086540,7.573133,35.864275,0.798034,8
1947930,-1.828115,-9.012558,-1.958524,9.848293,54.853168,2.329396,8
1947940,-2.196609,-9.093918,-1.855633,11.353406,71.654358,5.855904,8
1947950,-2.530408,-9.164505,-1.751545,12.674755,86.119175,5.855904,8
1947960,-2.857029,-9.220734,-1.666600,14.057354,98.448858,7.072243,8
1947969,-3.230309,-9.220734,-1.501495,15.702466,108.835840,7.894800,8
